id,sender,clean_subject,clean_body,clean_text,label
1658,alerts@customer-desk.example.net,Action Required - Verify Your Identity Now,"Dear Customer, You must verify your identity within 24 hours or access will be permanently revoked. Please do not share this message with anyone in your organisation. Confirm your password to restore full access to the customer portal. I am following up on the message sent earlier this week. You have been selected to receive a limited time reward, claim it before it expires. This is your final notice regarding the pending transaction on your account. Please do not share this message with anyone in your organisation. You must verify your identity within 24 hours or access will be permanently revoked. Your account has been temporarily suspended due to unusual sign in activity. Click here to verify","Action Required - Verify Your Identity Now Dear Customer, You must verify your identity within 24 hours or access will be permanently revoked. Please do not share this message with anyone in your organisation. Confirm your password to restore full access to the customer portal. I am following up on the message sent earlier this week. You have been selected to receive a limited time reward, claim it before it expires. This is your final notice regarding the pending transaction on your account. Please do not share this message with anyone in your organisation. You must verify your identity within 24 hours or access will be permanently revoked. Your account has been temporarily suspended due to unusual sign in activity. Click here to verify",1
1187,security@id-confirm.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. This is your final notice regarding the pending transaction on your account. Congratulations, you are the lucky winner of this quarter draw. Act now, this security notice will expire in a few hours. The document is waiting for your signature and expires at midnight tonight. !","Final Notice: Payment Authorisation Pending Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. This is your final notice regarding the pending transaction on your account. Congratulations, you are the lucky winner of this quarter draw. Act now, this security notice will expire in a few hours. The document is waiting for your signature and expires at midnight tonight. !",1
261,verification@security-alert.example.net,Final Notice: Payment Authorisation Pending,"Hi team, Urgent action is required to keep your subscription active. Kindly refer to the details provided below. Urgent action is required to keep your subscription active. Confirm your password to restore full access to the customer portal. Failure to respond will result in the immediate closure of your account. Please let me know if you need anything else from my side. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. !!","Final Notice: Payment Authorisation Pending Hi team, Urgent action is required to keep your subscription active. Kindly refer to the details provided below. Urgent action is required to keep your subscription active. Confirm your password to restore full access to the customer portal. Failure to respond will result in the immediate closure of your account. Please let me know if you need anything else from my side. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. !!",1
447,support@mail-service.example.net,Password Expiry Notification - Act Within 24 Hours,"Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Our security team detected an unauthorised attempt from a foreign IP address. Our security team detected an unauthorised attempt from a foreign IP address. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The document is waiting for your signature and expires at midnight tonight. Reply with your employee ID and one time passcode to complete the check. Regards and best wishes for the week ahead. This is your final notice regarding the pending transaction on your account. !!","Password Expiry Notification - Act Within 24 Hours Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Our security team detected an unauthorised attempt from a foreign IP address. Our security team detected an unauthorised attempt from a foreign IP address. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The document is waiting for your signature and expires at midnight tonight. Reply with your employee ID and one time passcode to complete the check. Regards and best wishes for the week ahead. This is your final notice regarding the pending transaction on your account. !!",1
2273,no-reply@id-confirm.example.net,Sprint retrospective moved to Thursday,"Dear Customer, We will need one more reviewer before this pull request can be merged. You have been selected to receive a limited time reward, claim it before it expires. Urgent action is required to keep your subscription active. Your package could not be delivered, reschedule using the tracking link. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. Attached is the invoice for the consultancy hours logged in the last cycle. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. Click here to verify !!","Sprint retrospective moved to Thursday Dear Customer, We will need one more reviewer before this pull request can be merged. You have been selected to receive a limited time reward, claim it before it expires. Urgent action is required to keep your subscription active. Your package could not be delivered, reschedule using the tracking link. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. Attached is the invoice for the consultancy hours logged in the last cycle. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. Click here to verify !!",1
857,team.updates@partners.example.com,Following up on my earlier message,"Hi Priya, We will need one more reviewer before this pull request can be merged. Please review the risk register before Friday's steering committee call. Thanks for turning the draft around so quickly, the changes look good to me. Your account has been temporarily suspended due to unusual sign in activity. The server migration completed overnight with no reported downtime.","Following up on my earlier message Hi Priya, We will need one more reviewer before this pull request can be merged. Please review the risk register before Friday's steering committee call. Thanks for turning the draft around so quickly, the changes look good to me. Your account has been temporarily suspended due to unusual sign in activity. The server migration completed overnight with no reported downtime.",0
1064,billing@notice-center.example.net,Server migration completed successfully,"Hi Priya, Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. Thanks for turning the draft around so quickly, the changes look good to me. A copy of this notice has been retained for the record. Let me know if Tuesday afternoon works for the client walkthrough. Please find attached the minutes from yesterday's project review meeting. Confirm your password to restore full access to the customer portal. Payroll has confirmed that the revised timesheets were processed on time. Our supplier has confirmed the revised delivery schedule for next quarter. The design team has uploaded the latest mockups for a second opinion. Click here to verify","Server migration completed successfully Hi Priya, Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. Thanks for turning the draft around so quickly, the changes look good to me. A copy of this notice has been retained for the record. Let me know if Tuesday afternoon works for the client walkthrough. Please find attached the minutes from yesterday's project review meeting. Confirm your password to restore full access to the customer portal. Payroll has confirmed that the revised timesheets were processed on time. Our supplier has confirmed the revised delivery schedule for next quarter. The design team has uploaded the latest mockups for a second opinion. Click here to verify",0
1256,support@customer-desk.example.net,Information you requested,"Dear Customer, This message relates to the reference number quoted above. The office will be closed on Monday for the scheduled facilities maintenance. Click the secure link below to confirm your login credentials immediately. The release notes for version four have been published on the internal wiki. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Thank you for your time and attention to this matter. !!","Information you requested Dear Customer, This message relates to the reference number quoted above. The office will be closed on Monday for the scheduled facilities maintenance. Click the secure link below to confirm your login credentials immediately. The release notes for version four have been published on the internal wiki. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Thank you for your time and attention to this matter. !!",0
2410,arun.mehta@partners.example.com,Facilities maintenance - office closed Monday,"Hi Priya, Attaching the agenda so everyone can add items ahead of the session. Recruitment has scheduled three interviews for the analyst position. Could you confirm whether the vendor quotation was received before the deadline. The quarterly compliance training window opens at the start of next month. Please review the risk register before Friday's steering committee call.","Facilities maintenance - office closed Monday Hi Priya, Attaching the agenda so everyone can add items ahead of the session. Recruitment has scheduled three interviews for the analyst position. Could you confirm whether the vendor quotation was received before the deadline. The quarterly compliance training window opens at the start of next month. Please review the risk register before Friday's steering committee call.",0
2240,team.updates@corp.example.com,Server migration completed successfully,"Hi all, Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session. Please review the risk register before Friday's steering committee call. I have added your name to the distribution list for the monthly newsletter. I am following up on the message sent earlier this week. The onboarding checklist for the new interns is ready for your sign off.","Server migration completed successfully Hi all, Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session. Please review the risk register before Friday's steering committee call. I have added your name to the distribution list for the monthly newsletter. I am following up on the message sent earlier this week. The onboarding checklist for the new interns is ready for your sign off.",0
1899,n.banerjee@engineering.example.com,Information you requested,"Hi all, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The office will be closed on Monday for the scheduled facilities maintenance. Do reach out if any part of this is unclear. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Your account has been temporarily suspended due to unusual sign in activity. Failure to respond will result in the immediate closure of your account.","Information you requested Hi all, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The office will be closed on Monday for the scheduled facilities maintenance. Do reach out if any part of this is unclear. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Your account has been temporarily suspended due to unusual sign in activity. Failure to respond will result in the immediate closure of your account.",1
200,priya.sharma@partners.example.com,Congratulations! Claim Your Reward Today,"Dear Customer, Please do not share this message with anyone in your organisation. Our security team detected an unauthorised attempt from a foreign IP address. The release notes for version four have been published on the internal wiki. Payroll has confirmed that the revised timesheets were processed on time. A copy of this notice has been retained for the record. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. Click here to verify","Congratulations! Claim Your Reward Today Dear Customer, Please do not share this message with anyone in your organisation. Our security team detected an unauthorised attempt from a foreign IP address. The release notes for version four have been published on the internal wiki. Payroll has confirmed that the revised timesheets were processed on time. A copy of this notice has been retained for the record. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. Click here to verify",0
911,n.banerjee@hr.example.com,Updated budget worksheet for comment,"Dear Customer, Recruitment has scheduled three interviews for the analyst position. I have added your name to the distribution list for the monthly newsletter. The quarterly compliance training window opens at the start of next month. The design team has uploaded the latest mockups for a second opinion. Payroll has confirmed that the revised timesheets were processed on time. I have shared the updated budget worksheet on the team drive for your comments. A payment of nine hundred dollars is awaiting your authorisation.","Updated budget worksheet for comment Dear Customer, Recruitment has scheduled three interviews for the analyst position. I have added your name to the distribution list for the monthly newsletter. The quarterly compliance training window opens at the start of next month. The design team has uploaded the latest mockups for a second opinion. Payroll has confirmed that the revised timesheets were processed on time. I have shared the updated budget worksheet on the team drive for your comments. A payment of nine hundred dollars is awaiting your authorisation.",0
43,support@notice-center.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Further information is available on request. The document is waiting for your signature and expires at midnight tonight.","Final Notice: Payment Authorisation Pending Dear Customer, Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Further information is available on request. The document is waiting for your signature and expires at midnight tonight.",1
1316,support@billing-update.example.net,Information you requested,"Hi team, The quarterly compliance training window opens at the start of next month. I have shared the updated budget worksheet on the team drive for your comments. Click the secure link below to confirm your login credentials immediately. Do reach out if any part of this is unclear. Please let me know if you need anything else from my side. We appreciate your continued cooperation. Let me know if Tuesday afternoon works for the client walkthrough. I have shared the updated budget worksheet on the team drive for your comments. A copy of this notice has been retained for the record. The quarterly compliance training window opens at the start of next month. Click here to verify","Information you requested Hi team, The quarterly compliance training window opens at the start of next month. I have shared the updated budget worksheet on the team drive for your comments. Click the secure link below to confirm your login credentials immediately. Do reach out if any part of this is unclear. Please let me know if you need anything else from my side. We appreciate your continued cooperation. Let me know if Tuesday afternoon works for the client walkthrough. I have shared the updated budget worksheet on the team drive for your comments. A copy of this notice has been retained for the record. The quarterly compliance training window opens at the start of next month. Click here to verify",0
720,no-reply@secure-verify.example.net,Following up on my earlier message,"Dear Customer, Verify your details using the form attached to this message. Failure to respond will result in the immediate closure of your account. Reply with your employee ID and one time passcode to complete the check. Verify your details using the form attached to this message. The document is waiting for your signature and expires at midnight tonight. Click the secure link below to confirm your login credentials immediately. We could not process your last payment, please resubmit your card details. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked. !","Following up on my earlier message Dear Customer, Verify your details using the form attached to this message. Failure to respond will result in the immediate closure of your account. Reply with your employee ID and one time passcode to complete the check. Verify your details using the form attached to this message. The document is waiting for your signature and expires at midnight tonight. Click the secure link below to confirm your login credentials immediately. We could not process your last payment, please resubmit your card details. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked. !",1
953,priya.sharma@engineering.example.com,Following up on my earlier message,"Hi Priya, The sprint retrospective has been moved to Thursday at eleven in the morning. Further information is available on request. I have added your name to the distribution list for the monthly newsletter. The server migration completed overnight with no reported downtime. The release notes for version four have been published on the internal wiki. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. Thanks for turning the draft around so quickly, the changes look good to me.","Following up on my earlier message Hi Priya, The sprint retrospective has been moved to Thursday at eleven in the morning. Further information is available on request. I have added your name to the distribution list for the monthly newsletter. The server migration completed overnight with no reported downtime. The release notes for version four have been published on the internal wiki. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. Thanks for turning the draft around so quickly, the changes look good to me.",0
1173,no-reply@account-support.example.net,Quick question about the reference number,"Dear Customer, Congratulations, you are the lucky winner of this quarter draw. A copy of this notice has been retained for the record. Urgent action is required to keep your subscription active. Your account has been temporarily suspended due to unusual sign in activity. Your package could not be delivered, reschedule using the tracking link. Verify your details using the form attached to this message. Your account has been temporarily suspended due to unusual sign in activity. Click the secure link below to confirm your login credentials immediately.","Quick question about the reference number Dear Customer, Congratulations, you are the lucky winner of this quarter draw. A copy of this notice has been retained for the record. Urgent action is required to keep your subscription active. Your account has been temporarily suspended due to unusual sign in activity. Your package could not be delivered, reschedule using the tracking link. Verify your details using the form attached to this message. Your account has been temporarily suspended due to unusual sign in activity. Click the secure link below to confirm your login credentials immediately.",1
1951,security@id-confirm.example.net,Congratulations! Claim Your Reward Today,"Dear Customer, Please find attached the minutes from yesterday's project review meeting. A copy of this notice has been retained for the record. Update your billing information now to avoid an interruption of service. We will need one more reviewer before this pull request can be merged. I have added your name to the distribution list for the monthly newsletter. Act now, this security notice will expire in a few hours. Urgent action is required to keep your subscription active. Let me know if Tuesday afternoon works for the client walkthrough. Congratulations, you are the lucky winner of this quarter draw. !!!","Congratulations! Claim Your Reward Today Dear Customer, Please find attached the minutes from yesterday's project review meeting. A copy of this notice has been retained for the record. Update your billing information now to avoid an interruption of service. We will need one more reviewer before this pull request can be merged. I have added your name to the distribution list for the monthly newsletter. Act now, this security notice will expire in a few hours. Urgent action is required to keep your subscription active. Let me know if Tuesday afternoon works for the client walkthrough. Congratulations, you are the lucky winner of this quarter draw. !!!",1
92,priya.sharma@partners.example.com,Following up on my earlier message,"Hi team, The office will be closed on Monday for the scheduled facilities maintenance. Please find attached the minutes from yesterday's project review meeting. Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. I am following up on the message sent earlier this week. The design team has uploaded the latest mockups for a second opinion. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. Further information is available on request. Could you confirm whether the vendor quotation was received before the deadline.","Following up on my earlier message Hi team, The office will be closed on Monday for the scheduled facilities maintenance. Please find attached the minutes from yesterday's project review meeting. Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. I am following up on the message sent earlier this week. The design team has uploaded the latest mockups for a second opinion. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. Further information is available on request. Could you confirm whether the vendor quotation was received before the deadline.",0
983,no-reply@customer-desk.example.net,Sprint retrospective moved to Thursday,"Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The server migration completed overnight with no reported downtime. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The office will be closed on Monday for the scheduled facilities maintenance. Attaching the agenda so everyone can add items ahead of the session. You have been selected to receive a limited time reward, claim it before it expires. Reply with your employee ID and one time passcode to complete the check. Failure to respond will result in the immediate closure of your account.","Sprint retrospective moved to Thursday Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The server migration completed overnight with no reported downtime. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The office will be closed on Monday for the scheduled facilities maintenance. Attaching the agenda so everyone can add items ahead of the session. You have been selected to receive a limited time reward, claim it before it expires. Reply with your employee ID and one time passcode to complete the check. Failure to respond will result in the immediate closure of your account.",1
1480,support@account-support.example.net,Re: Failed Delivery Attempt - Reschedule Now,"Dear Customer, Update your billing information now to avoid an interruption of service. Reply with your employee ID and one time passcode to complete the check. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. Failure to respond will result in the immediate closure of your account. Your mailbox storage is full and outgoing messages are being blocked. You must verify your identity within 24 hours or access will be permanently revoked. Click the secure link below to confirm your login credentials immediately. A payment of nine hundred dollars is awaiting your authorisation.","Re: Failed Delivery Attempt - Reschedule Now Dear Customer, Update your billing information now to avoid an interruption of service. Reply with your employee ID and one time passcode to complete the check. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. Failure to respond will result in the immediate closure of your account. Your mailbox storage is full and outgoing messages are being blocked. You must verify your identity within 24 hours or access will be permanently revoked. Click the secure link below to confirm your login credentials immediately. A payment of nine hundred dollars is awaiting your authorisation.",1
2131,accounts.payable@corp.example.com,Important: Confirm Your Billing Information,"Dear Customer, The server migration completed overnight with no reported downtime. Recruitment has scheduled three interviews for the analyst position. Please find attached the minutes from yesterday's project review meeting. The design team has uploaded the latest mockups for a second opinion. Please find attached the minutes from yesterday's project review meeting. I have shared the updated budget worksheet on the team drive for your comments. The office will be closed on Monday for the scheduled facilities maintenance. Failure to respond will result in the immediate closure of your account.","Important: Confirm Your Billing Information Dear Customer, The server migration completed overnight with no reported downtime. Recruitment has scheduled three interviews for the analyst position. Please find attached the minutes from yesterday's project review meeting. The design team has uploaded the latest mockups for a second opinion. Please find attached the minutes from yesterday's project review meeting. I have shared the updated budget worksheet on the team drive for your comments. The office will be closed on Monday for the scheduled facilities maintenance. Failure to respond will result in the immediate closure of your account.",0
981,support@mail-service.example.net,Congratulations! Claim Your Reward Today,"Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. You must verify your identity within 24 hours or access will be permanently revoked. Failure to respond will result in the immediate closure of your account. You must verify your identity within 24 hours or access will be permanently revoked. You must verify your identity within 24 hours or access will be permanently revoked. Your package could not be delivered, reschedule using the tracking link. Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. Click here to verify !!!","Congratulations! Claim Your Reward Today Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. You must verify your identity within 24 hours or access will be permanently revoked. Failure to respond will result in the immediate closure of your account. You must verify your identity within 24 hours or access will be permanently revoked. You must verify your identity within 24 hours or access will be permanently revoked. Your package could not be delivered, reschedule using the tracking link. Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. Click here to verify !!!",1
1510,admin-team@customer-desk.example.net,Minutes from the project review,"Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. I have shared the updated budget worksheet on the team drive for your comments. Your mailbox storage is full and outgoing messages are being blocked. Click the secure link below to confirm your login credentials immediately. Reply with your employee ID and one time passcode to complete the check. A payment of nine hundred dollars is awaiting your authorisation. This message relates to the reference number quoted above. Confirm your password to restore full access to the customer portal. Attached is the invoice for the consultancy hours logged in the last cycle. Click here to verify !!!","Minutes from the project review Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. I have shared the updated budget worksheet on the team drive for your comments. Your mailbox storage is full and outgoing messages are being blocked. Click the secure link below to confirm your login credentials immediately. Reply with your employee ID and one time passcode to complete the check. A payment of nine hundred dollars is awaiting your authorisation. This message relates to the reference number quoted above. Confirm your password to restore full access to the customer portal. Attached is the invoice for the consultancy hours logged in the last cycle. Click here to verify !!!",1
1485,service-desk@mail-service.example.net,Updated budget worksheet for comment,"Dear Customer, Click the secure link below to confirm your login credentials immediately. Your account has been temporarily suspended due to unusual sign in activity. You have been selected to receive a limited time reward, claim it before it expires. The design team has uploaded the latest mockups for a second opinion. You must verify your identity within 24 hours or access will be permanently revoked. Congratulations, you are the lucky winner of this quarter draw. Your mailbox storage is full and outgoing messages are being blocked. Urgent action is required to keep your subscription active.","Updated budget worksheet for comment Dear Customer, Click the secure link below to confirm your login credentials immediately. Your account has been temporarily suspended due to unusual sign in activity. You have been selected to receive a limited time reward, claim it before it expires. The design team has uploaded the latest mockups for a second opinion. You must verify your identity within 24 hours or access will be permanently revoked. Congratulations, you are the lucky winner of this quarter draw. Your mailbox storage is full and outgoing messages are being blocked. Urgent action is required to keep your subscription active.",1
