id,sender,subject,body,label
237,verification@secure-verify.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Confirm your password to restore full access to the customer portal. Act now, this security notice will expire in a few hours. Reply with your employee ID and one time passcode to complete the check. Your package could not be delivered, reschedule using the tracking link. Click the secure link below to confirm your login credentials immediately. http://security-alert.example.net/update/account?id=11616 http://173.126.141.151/secure/login/verify.php",1
394,security@customer-desk.example.net,Congratulations! Claim Your Reward Today,"Hi Arun, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The release notes for version four have been published on the internal wiki. Your account has been temporarily suspended due to unusual sign in activity. http://account-support.example.net/verify/account?id=14695 http://235.60.29.118/secure/login/verify.php https://vendor.example.org/docs/agenda !",1
1377,security@secure-verify.example.net,Information you requested,"Dear Customer, This message relates to the reference number quoted above. Failure to respond will result in the immediate closure of your account. Kindly refer to the details provided below. The document is waiting for your signature and expires at midnight tonight. Verify your details using the form attached to this message. Click the secure link below to confirm your login credentials immediately. Urgent action is required to keep your subscription active. Please let me know if you need anything else from my side. Urgent action is required to keep your subscription active. http://secure-verify.example.net/confirm/account?id=53053 http://mail-service.example.net/confirm/account?id=63334 !!!",1
1658,alerts@customer-desk.example.net,Action Required - Verify Your Identity Now,"Dear Customer, You must verify your identity within 24 hours or access will be permanently revoked. Please do not share this message with anyone in your organisation. Confirm your password to restore full access to the customer portal. I am following up on the message sent earlier this week. You have been selected to receive a limited time reward, claim it before it expires. This is your final notice regarding the pending transaction on your account. Please do not share this message with anyone in your organisation. You must verify your identity within 24 hours or access will be permanently revoked. Your account has been temporarily suspended due to unusual sign in activity. http://205.224.87.203/secure/login/verify.php <a href=""http://bit.example.net/808126"">Click here to verify</a>",1
1187,security@id-confirm.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. This is your final notice regarding the pending transaction on your account. Congratulations, you are the lucky winner of this quarter draw. Act now, this security notice will expire in a few hours. The document is waiting for your signature and expires at midnight tonight. http://158.197.121.207/secure/login/verify.php !",1
261,verification@security-alert.example.net,Final Notice: Payment Authorisation Pending,"Hi team, Urgent action is required to keep your subscription active. Kindly refer to the details provided below. Urgent action is required to keep your subscription active. Confirm your password to restore full access to the customer portal. Failure to respond will result in the immediate closure of your account. Please let me know if you need anything else from my side. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. !!",1
447,support@mail-service.example.net,Password Expiry Notification - Act Within 24 Hours,"Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Our security team detected an unauthorised attempt from a foreign IP address. Our security team detected an unauthorised attempt from a foreign IP address. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The document is waiting for your signature and expires at midnight tonight. Reply with your employee ID and one time passcode to complete the check. Regards and best wishes for the week ahead. This is your final notice regarding the pending transaction on your account. http://184.58.46.65/secure/login/verify.php !!",1
2273,no-reply@id-confirm.example.net,Sprint retrospective moved to Thursday,"Dear Customer, We will need one more reviewer before this pull request can be merged. You have been selected to receive a limited time reward, claim it before it expires. Urgent action is required to keep your subscription active. Your package could not be delivered, reschedule using the tracking link. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. Attached is the invoice for the consultancy hours logged in the last cycle. Please do not share this message with anyone in your organisation. A payment of nine hundred dollars is awaiting your authorisation. http://202.118.45.107/secure/login/verify.php http://58.145.200.30/secure/login/verify.php <a href=""http://mail-service.example.net/verify/account?id=37356"">Click here to verify</a> !!",1
857,team.updates@partners.example.com,Following up on my earlier message,"Hi Priya, We will need one more reviewer before this pull request can be merged. Please review the risk register before Friday's steering committee call. Thanks for turning the draft around so quickly, the changes look good to me. Your account has been temporarily suspended due to unusual sign in activity. The server migration completed overnight with no reported downtime. https://partners.example.com/drive/minutes",0
1064,billing@notice-center.example.net,Server migration completed successfully,"Hi Priya, Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. Thanks for turning the draft around so quickly, the changes look good to me. A copy of this notice has been retained for the record. Let me know if Tuesday afternoon works for the client walkthrough. Please find attached the minutes from yesterday's project review meeting. Confirm your password to restore full access to the customer portal. Payroll has confirmed that the revised timesheets were processed on time. Our supplier has confirmed the revised delivery schedule for next quarter. The design team has uploaded the latest mockups for a second opinion. https://corp.example.com/wiki/q2-report <a href=""http://id-confirm.example.net/verify/account?id=81156"">Click here to verify</a>",0
1256,support@customer-desk.example.net,Information you requested,"Dear Customer, This message relates to the reference number quoted above. The office will be closed on Monday for the scheduled facilities maintenance. Click the secure link below to confirm your login credentials immediately. The release notes for version four have been published on the internal wiki. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Thank you for your time and attention to this matter. https://corp.example.com/invoices/q2-report http://191.232.71.160/secure/login/verify.php !!",0
2410,arun.mehta@partners.example.com,Facilities maintenance - office closed Monday,"Hi Priya, Attaching the agenda so everyone can add items ahead of the session. Recruitment has scheduled three interviews for the analyst position. Could you confirm whether the vendor quotation was received before the deadline. The quarterly compliance training window opens at the start of next month. Please review the risk register before Friday's steering committee call.",0
2240,team.updates@corp.example.com,Server migration completed successfully,"Hi all, Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session. Please review the risk register before Friday's steering committee call. I have added your name to the distribution list for the monthly newsletter. I am following up on the message sent earlier this week. The onboarding checklist for the new interns is ready for your sign off.",0
1899,n.banerjee@engineering.example.com,Information you requested,"Hi all, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The office will be closed on Monday for the scheduled facilities maintenance. Do reach out if any part of this is unclear. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Your account has been temporarily suspended due to unusual sign in activity. Failure to respond will result in the immediate closure of your account. https://corp.example.com/docs/agenda",1
200,priya.sharma@partners.example.com,Congratulations! Claim Your Reward Today,"Dear Customer, Please do not share this message with anyone in your organisation. Our security team detected an unauthorised attempt from a foreign IP address. The release notes for version four have been published on the internal wiki. Payroll has confirmed that the revised timesheets were processed on time. A copy of this notice has been retained for the record. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. http://198.206.92.200/secure/login/verify.php <a href=""http://id-confirm.example.net/confirm/account?id=10570"">Click here to verify</a>",0
911,n.banerjee@hr.example.com,Updated budget worksheet for comment,"Dear Customer, Recruitment has scheduled three interviews for the analyst position. I have added your name to the distribution list for the monthly newsletter. The quarterly compliance training window opens at the start of next month. The design team has uploaded the latest mockups for a second opinion. Payroll has confirmed that the revised timesheets were processed on time. I have shared the updated budget worksheet on the team drive for your comments. A payment of nine hundred dollars is awaiting your authorisation.",0
43,support@notice-center.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Further information is available on request. The document is waiting for your signature and expires at midnight tonight. http://bit.example.net/841178",1
1316,support@billing-update.example.net,Information you requested,"Hi team, The quarterly compliance training window opens at the start of next month. I have shared the updated budget worksheet on the team drive for your comments. Click the secure link below to confirm your login credentials immediately. Do reach out if any part of this is unclear. Please let me know if you need anything else from my side. We appreciate your continued cooperation. Let me know if Tuesday afternoon works for the client walkthrough. I have shared the updated budget worksheet on the team drive for your comments. A copy of this notice has been retained for the record. The quarterly compliance training window opens at the start of next month. http://id-confirm.example.net/update/account?id=68899 <a href=""http://bit.example.net/604647"">Click here to verify</a>",0
720,no-reply@secure-verify.example.net,Following up on my earlier message,"Dear Customer, Verify your details using the form attached to this message. Failure to respond will result in the immediate closure of your account. Reply with your employee ID and one time passcode to complete the check. Verify your details using the form attached to this message. The document is waiting for your signature and expires at midnight tonight. Click the secure link below to confirm your login credentials immediately. We could not process your last payment, please resubmit your card details. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked. http://id-confirm.example.net/verify/account?id=33112 http://132.67.207.169/secure/login/verify.php http://bit.example.net/303528 !",1
953,priya.sharma@engineering.example.com,Following up on my earlier message,"Hi Priya, The sprint retrospective has been moved to Thursday at eleven in the morning. Further information is available on request. I have added your name to the distribution list for the monthly newsletter. The server migration completed overnight with no reported downtime. The release notes for version four have been published on the internal wiki. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. Thanks for turning the draft around so quickly, the changes look good to me. https://hr.example.com/invoices/minutes",0
1173,no-reply@account-support.example.net,Quick question about the reference number,"Dear Customer, Congratulations, you are the lucky winner of this quarter draw. A copy of this notice has been retained for the record. Urgent action is required to keep your subscription active. Your account has been temporarily suspended due to unusual sign in activity. Your package could not be delivered, reschedule using the tracking link. Verify your details using the form attached to this message. Your account has been temporarily suspended due to unusual sign in activity. Click the secure link below to confirm your login credentials immediately. http://bit.example.net/485359 http://205.229.232.157/secure/login/verify.php",1
1951,security@id-confirm.example.net,Congratulations! Claim Your Reward Today,"Dear Customer, Please find attached the minutes from yesterday's project review meeting. A copy of this notice has been retained for the record. Update your billing information now to avoid an interruption of service. We will need one more reviewer before this pull request can be merged. I have added your name to the distribution list for the monthly newsletter. Act now, this security notice will expire in a few hours. Urgent action is required to keep your subscription active. Let me know if Tuesday afternoon works for the client walkthrough. Congratulations, you are the lucky winner of this quarter draw. https://engineering.example.com/wiki/minutes http://bit.example.net/909277 !!!",1
92,priya.sharma@partners.example.com,Following up on my earlier message,"Hi team, The office will be closed on Monday for the scheduled facilities maintenance. Please find attached the minutes from yesterday's project review meeting. Attached is the invoice for the consultancy hours logged in the last cycle. Could you confirm whether the vendor quotation was received before the deadline. I am following up on the message sent earlier this week. The design team has uploaded the latest mockups for a second opinion. Attaching the agenda so everyone can add items ahead of the session. Thanks for turning the draft around so quickly, the changes look good to me. Further information is available on request. Could you confirm whether the vendor quotation was received before the deadline. http://bit.example.net/830343",0
983,no-reply@customer-desk.example.net,Sprint retrospective moved to Thursday,"Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The server migration completed overnight with no reported downtime. A copy of this notice has been retained for the record. Your package could not be delivered, reschedule using the tracking link. The office will be closed on Monday for the scheduled facilities maintenance. Attaching the agenda so everyone can add items ahead of the session. You have been selected to receive a limited time reward, claim it before it expires. Reply with your employee ID and one time passcode to complete the check. Failure to respond will result in the immediate closure of your account. http://127.130.39.179/secure/login/verify.php",1
1480,support@account-support.example.net,Re: Failed Delivery Attempt - Reschedule Now,"Dear Customer, Update your billing information now to avoid an interruption of service. Reply with your employee ID and one time passcode to complete the check. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. Failure to respond will result in the immediate closure of your account. Your mailbox storage is full and outgoing messages are being blocked. You must verify your identity within 24 hours or access will be permanently revoked. Click the secure link below to confirm your login credentials immediately. A payment of nine hundred dollars is awaiting your authorisation. http://bit.example.net/663309 http://bit.example.net/610307",1
2131,accounts.payable@corp.example.com,Important: Confirm Your Billing Information,"Dear Customer, The server migration completed overnight with no reported downtime. Recruitment has scheduled three interviews for the analyst position. Please find attached the minutes from yesterday's project review meeting. The design team has uploaded the latest mockups for a second opinion. Please find attached the minutes from yesterday's project review meeting. I have shared the updated budget worksheet on the team drive for your comments. The office will be closed on Monday for the scheduled facilities maintenance. Failure to respond will result in the immediate closure of your account. https://finance.example.com/wiki/checklist",0
981,support@mail-service.example.net,Congratulations! Claim Your Reward Today,"Dear Customer, Our security team detected an unauthorised attempt from a foreign IP address. You must verify your identity within 24 hours or access will be permanently revoked. Failure to respond will result in the immediate closure of your account. You must verify your identity within 24 hours or access will be permanently revoked. You must verify your identity within 24 hours or access will be permanently revoked. Your package could not be delivered, reschedule using the tracking link. Your mailbox storage is full and outgoing messages are being blocked. This is your final notice regarding the pending transaction on your account. Urgent action is required to keep your subscription active. http://customer-desk.example.net/confirm/account?id=58414 http://mail-service.example.net/confirm/account?id=36804 https://corp.example.com/drive/minutes <a href=""http://customer-desk.example.net/confirm/account?id=72012"">Click here to verify</a> !!!",1
1510,admin-team@customer-desk.example.net,Minutes from the project review,"Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. I have shared the updated budget worksheet on the team drive for your comments. Your mailbox storage is full and outgoing messages are being blocked. Click the secure link below to confirm your login credentials immediately. Reply with your employee ID and one time passcode to complete the check. A payment of nine hundred dollars is awaiting your authorisation. This message relates to the reference number quoted above. Confirm your password to restore full access to the customer portal. Attached is the invoice for the consultancy hours logged in the last cycle. http://bit.example.net/151190 <a href=""http://bit.example.net/487402"">Click here to verify</a> !!!",1
1485,service-desk@mail-service.example.net,Updated budget worksheet for comment,"Dear Customer, Click the secure link below to confirm your login credentials immediately. Your account has been temporarily suspended due to unusual sign in activity. You have been selected to receive a limited time reward, claim it before it expires. The design team has uploaded the latest mockups for a second opinion. You must verify your identity within 24 hours or access will be permanently revoked. Congratulations, you are the lucky winner of this quarter draw. Your mailbox storage is full and outgoing messages are being blocked. Urgent action is required to keep your subscription active. https://vendor.example.org/drive/agenda",1
2196,arun.mehta@corp.example.com,Onboarding checklist for new interns,"Hi Sam, I have added your name to the distribution list for the monthly newsletter. Attaching the agenda so everyone can add items ahead of the session. The document is waiting for your signature and expires at midnight tonight. The release notes for version four have been published on the internal wiki. The office will be closed on Monday for the scheduled facilities maintenance. Recruitment has scheduled three interviews for the analyst position. The sprint retrospective has been moved to Thursday at eleven in the morning.",0
937,priya.sharma@finance.example.com,Information you requested,"Hi team, We will need one more reviewer before this pull request can be merged. Let me know if Tuesday afternoon works for the client walkthrough. We could not process your last payment, please resubmit your card details. You must verify your identity within 24 hours or access will be permanently revoked. Failure to respond will result in the immediate closure of your account. Recruitment has scheduled three interviews for the analyst position. The sprint retrospective has been moved to Thursday at eleven in the morning. Please review the risk register before Friday's steering committee call. http://bit.example.net/240139 !!",1
2074,accounts.payable@finance.example.com,Update for your records,"Hi Sam, Attached is the invoice for the consultancy hours logged in the last cycle. Payroll has confirmed that the revised timesheets were processed on time. Let me know if Tuesday afternoon works for the client walkthrough. The design team has uploaded the latest mockups for a second opinion. Please find attached the minutes from yesterday's project review meeting. https://engineering.example.com/drive/agenda",0
1500,verification@customer-desk.example.net,URGENT: Your account will be suspended,"Dear Customer, We could not process your last payment, please resubmit your card details. Your mailbox storage is full and outgoing messages are being blocked. Reply with your employee ID and one time passcode to complete the check. You must verify your identity within 24 hours or access will be permanently revoked. Reply with your employee ID and one time passcode to complete the check. Update your billing information now to avoid an interruption of service. Your package could not be delivered, reschedule using the tracking link. Update your billing information now to avoid an interruption of service. You must verify your identity within 24 hours or access will be permanently revoked. http://secure-verify.example.net/update/account?id=73671 http://bit.example.net/727076 !!",1
388,admin-team@id-confirm.example.net,Important: Confirm Your Billing Information,"Hi Priya, Please let me know if you need anything else from my side. Your package could not be delivered, reschedule using the tracking link. Our security team detected an unauthorised attempt from a foreign IP address. Failure to respond will result in the immediate closure of your account. Please review the risk register before Friday's steering committee call. You have been selected to receive a limited time reward, claim it before it expires. http://bit.example.net/874943 http://77.48.42.55/secure/login/verify.php !!",0
164,no-reply@mail-service.example.net,Your Mailbox Is Full - Immediate Action Needed,"Dear Customer, I am following up on the message sent earlier this week. Our security team detected an unauthorised attempt from a foreign IP address. Our security team detected an unauthorised attempt from a foreign IP address. I am following up on the message sent earlier this week. http://157.163.211.15/secure/login/verify.php <a href=""http://49.41.139.125/secure/login/verify.php"">Click here to verify</a> !!!",1
2056,alerts@account-support.example.net,Important: Confirm Your Billing Information,"Dear Customer, Update your billing information now to avoid an interruption of service. Update your billing information now to avoid an interruption of service. Act now, this security notice will expire in a few hours. Urgent action is required to keep your subscription active. You must verify your identity within 24 hours or access will be permanently revoked. Do reach out if any part of this is unclear. Failure to respond will result in the immediate closure of your account. Reply with your employee ID and one time passcode to complete the check. http://bit.example.net/304107",1
794,alerts@customer-desk.example.net,URGENT: Your account will be suspended,"Dear Customer, Click the secure link below to confirm your login credentials immediately. A payment of nine hundred dollars is awaiting your authorisation. Congratulations, you are the lucky winner of this quarter draw. Further information is available on request. A payment of nine hundred dollars is awaiting your authorisation. Failure to respond will result in the immediate closure of your account. Congratulations, you are the lucky winner of this quarter draw. Do reach out if any part of this is unclear. We could not process your last payment, please resubmit your card details. http://account-support.example.net/update/account?id=95034 http://155.221.234.80/secure/login/verify.php !!",1
1160,support@billing-update.example.net,Your Mailbox Is Full - Immediate Action Needed,"Dear Customer, Thank you for your time and attention to this matter. Your account has been temporarily suspended due to unusual sign in activity. Click the secure link below to confirm your login credentials immediately. A payment of nine hundred dollars is awaiting your authorisation. Click the secure link below to confirm your login credentials immediately. http://135.239.160.220/secure/login/verify.php <a href=""http://bit.example.net/594022"">Click here to verify</a> !!!",1
2142,s.iyer@hr.example.com,Invoice for consultancy hours - Q2,"Hi Priya, Do reach out if any part of this is unclear. Thank you for your time and attention to this matter. Please review the risk register before Friday's steering committee call. Thanks for turning the draft around so quickly, the changes look good to me. Failure to respond will result in the immediate closure of your account. https://vendor.example.org/invoices/agenda",0
2059,hr.notices@corp.example.com,Interview schedule for analyst role,"Hi Sam, Attached is the invoice for the consultancy hours logged in the last cycle. The office will be closed on Monday for the scheduled facilities maintenance. I have shared the updated budget worksheet on the team drive for your comments. Your account has been temporarily suspended due to unusual sign in activity. Thanks for turning the draft around so quickly, the changes look good to me. The sprint retrospective has been moved to Thursday at eleven in the morning. The sprint retrospective has been moved to Thursday at eleven in the morning. Thank you for your time and attention to this matter. https://finance.example.com/invoices/minutes",0
2020,accounts.payable@vendor.example.org,Release notes v4.0 published,"Hi all, Regards and best wishes for the week ahead. Please find attached the minutes from yesterday's project review meeting. The server migration completed overnight with no reported downtime. Attached is the invoice for the consultancy hours logged in the last cycle. The sprint retrospective has been moved to Thursday at eleven in the morning. The onboarding checklist for the new interns is ready for your sign off. Recruitment has scheduled three interviews for the analyst position. The design team has uploaded the latest mockups for a second opinion. The design team has uploaded the latest mockups for a second opinion. Recruitment has scheduled three interviews for the analyst position.",0
2032,n.banerjee@hr.example.com,Facilities maintenance - office closed Monday,"Hi Priya, The release notes for version four have been published on the internal wiki. Our supplier has confirmed the revised delivery schedule for next quarter. I have shared the updated budget worksheet on the team drive for your comments. Recruitment has scheduled three interviews for the analyst position. The quarterly compliance training window opens at the start of next month. The sprint retrospective has been moved to Thursday at eleven in the morning. https://engineering.example.com/invoices/checklist !!",0
1657,no-reply@notice-center.example.net,Important: Confirm Your Billing Information,"Dear Customer, Urgent action is required to keep your subscription active. Your mailbox storage is full and outgoing messages are being blocked. A payment of nine hundred dollars is awaiting your authorisation. The document is waiting for your signature and expires at midnight tonight. http://bit.example.net/418429 !!",1
608,alerts@mail-service.example.net,Security Alert: Unusual Login Detected,"Dear Customer, We could not process your last payment, please resubmit your card details. Congratulations, you are the lucky winner of this quarter draw. Update your billing information now to avoid an interruption of service. Regards and best wishes for the week ahead. Verify your details using the form attached to this message. Click the secure link below to confirm your login credentials immediately. Your package could not be delivered, reschedule using the tracking link. You must verify your identity within 24 hours or access will be permanently revoked. Your package could not be delivered, reschedule using the tracking link. We could not process your last payment, please resubmit your card details. http://162.155.181.216/secure/login/verify.php <a href=""http://bit.example.net/466194"">Click here to verify</a> !",1
1559,support@security-alert.example.net,Following up on my earlier message,"Hi team, Act now, this security notice will expire in a few hours. We could not process your last payment, please resubmit your card details. The document is waiting for your signature and expires at midnight tonight. Urgent action is required to keep your subscription active. Act now, this security notice will expire in a few hours. Please find attached the minutes from yesterday's project review meeting. Please do not share this message with anyone in your organisation. Our security team detected an unauthorised attempt from a foreign IP address. http://bit.example.net/699453",1
1867,s.iyer@corp.example.com,Agenda for Friday's steering committee,"Hi Sam, The server migration completed overnight with no reported downtime. The server migration completed overnight with no reported downtime. Please find attached the minutes from yesterday's project review meeting. I have added your name to the distribution list for the monthly newsletter. Could you confirm whether the vendor quotation was received before the deadline. Thanks for turning the draft around so quickly, the changes look good to me. Regards and best wishes for the week ahead. Payroll has confirmed that the revised timesheets were processed on time.",0
1280,no-reply@security-alert.example.net,Action Required - Verify Your Identity Now,"Dear Customer, You must verify your identity within 24 hours or access will be permanently revoked. Urgent action is required to keep your subscription active. We could not process your last payment, please resubmit your card details. We could not process your last payment, please resubmit your card details. This message relates to the reference number quoted above. Your mailbox storage is full and outgoing messages are being blocked. Click the secure link below to confirm your login credentials immediately. This is your final notice regarding the pending transaction on your account. A payment of nine hundred dollars is awaiting your authorisation. http://bit.example.net/146561",1
2140,support@notice-center.example.net,Following up on my earlier message,"Hi team, Update your billing information now to avoid an interruption of service. Click the secure link below to confirm your login credentials immediately. Update your billing information now to avoid an interruption of service. I am following up on the message sent earlier this week. Failure to respond will result in the immediate closure of your account. Please do not share this message with anyone in your organisation. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked. The quarterly compliance training window opens at the start of next month. The release notes for version four have been published on the internal wiki. http://226.143.227.52/secure/login/verify.php !",1
248,hr.notices@engineering.example.com,Updated budget worksheet for comment,"Hi all, Let me know if Tuesday afternoon works for the client walkthrough. The office will be closed on Monday for the scheduled facilities maintenance. Could you confirm whether the vendor quotation was received before the deadline. Could you confirm whether the vendor quotation was received before the deadline. Our supplier has confirmed the revised delivery schedule for next quarter. The server migration completed overnight with no reported downtime. Do reach out if any part of this is unclear. The release notes for version four have been published on the internal wiki. The server migration completed overnight with no reported downtime. This message relates to the reference number quoted above. https://engineering.example.com/docs/agenda",0
928,n.banerjee@hr.example.com,Updated budget worksheet for comment,"Hi Arun, The release notes for version four have been published on the internal wiki. Attaching the agenda so everyone can add items ahead of the session. We will need one more reviewer before this pull request can be merged. A copy of this notice has been retained for the record. Please find attached the minutes from yesterday's project review meeting. I have added your name to the distribution list for the monthly newsletter.",1
2357,billing@security-alert.example.net,Congratulations! Claim Your Reward Today,"Dear Customer, Failure to respond will result in the immediate closure of your account. The sprint retrospective has been moved to Thursday at eleven in the morning. Verify your details using the form attached to this message. Attaching the agenda so everyone can add items ahead of the session. We could not process your last payment, please resubmit your card details. http://62.38.86.146/secure/login/verify.php http://46.158.206.29/secure/login/verify.php <a href=""http://13.146.96.30/secure/login/verify.php"">Click here to verify</a>",1
433,s.iyer@corp.example.com,Re: Failed Delivery Attempt - Reschedule Now,"Dear Customer, Please let me know if you need anything else from my side. We will need one more reviewer before this pull request can be merged. A payment of nine hundred dollars is awaiting your authorisation. The design team has uploaded the latest mockups for a second opinion. The document is waiting for your signature and expires at midnight tonight. This is your final notice regarding the pending transaction on your account. The design team has uploaded the latest mockups for a second opinion. Reply with your employee ID and one time passcode to complete the check. http://121.62.31.33/secure/login/verify.php <a href=""http://bit.example.net/327857"">Click here to verify</a> !",1
820,verification@account-support.example.net,Document Awaiting Your Signature - Expires Tonight,"Dear Customer, We could not process your last payment, please resubmit your card details. A payment of nine hundred dollars is awaiting your authorisation. Thank you for your time and attention to this matter. Confirm your password to restore full access to the customer portal. This is your final notice regarding the pending transaction on your account. Act now, this security notice will expire in a few hours. This is your final notice regarding the pending transaction on your account. Thank you for your time and attention to this matter. Reply with your employee ID and one time passcode to complete the check. Our security team detected an unauthorised attempt from a foreign IP address. http://bit.example.net/745642 <a href=""http://22.34.150.191/secure/login/verify.php"">Click here to verify</a> !!!",1
1376,no-reply@security-alert.example.net,Following up on my earlier message,"Dear Customer, A payment of nine hundred dollars is awaiting your authorisation. Thanks for turning the draft around so quickly, the changes look good to me. A payment of nine hundred dollars is awaiting your authorisation. Confirm your password to restore full access to the customer portal. We could not process your last payment, please resubmit your card details. Click the secure link below to confirm your login credentials immediately. http://security-alert.example.net/confirm/account?id=31178",1
2099,arun.mehta@vendor.example.org,Quick question about the reference number,"Hi Arun, Could you confirm whether the vendor quotation was received before the deadline. Please find attached the minutes from yesterday's project review meeting. Could you confirm whether the vendor quotation was received before the deadline. Kindly refer to the details provided below. The server migration completed overnight with no reported downtime. I have shared the updated budget worksheet on the team drive for your comments. Could you confirm whether the vendor quotation was received before the deadline. Recruitment has scheduled three interviews for the analyst position. https://finance.example.com/invoices/minutes",0
